aimag,soum,lat,lon
Ömnögovi,Bayandalai,43.092427,103.265263
Ömnögovi,Cogt-Cecii,43.771715,105.878711
Ömnögovi,Dalanzadgad,43.574898,104.428695
Ömnögovi,Noyon,42.775896,102.372763
Ömnögovi,Xanxongor,43.641231,104.636477
