aimag,soum,lat,lon
Ömnögovi,Bayandalai,,
Ömnögovi,Bogd,,
Ömnögovi,Bulgan,,
Ömnögovi,Dalanzadgad,,
Ömnögovi,Gurvantes,,
Ömnögovi,Khanbogd,,
Ömnögovi,Khankhongor,,
Ömnögovi,Khurmen,,
Ömnögovi,Manlai,,
Ömnögovi,Noyon,,
Ömnögovi,Nomgon,,
Ömnögovi,Sevrei,,
Ömnögovi,Tsogt-Ovoo,,
Ömnögovi,Tsogtsetsii,,
Ömnögovi,Khaliun,,
