aimag,soum,lat,lon,year,month,avg_temp,min_temp,wind_speed,snowfall_sum,precip_sum
Ömnögovi,Bayandalai,43.092427,103.265263,2020,2,-7.862,-21.2,9.483,3.36,4.7
Ömnögovi,Bayandalai,43.092427,103.265263,2020,3,-1.516,-15.3,11.4,1.89,2.9
Ömnögovi,Bayandalai,43.092427,103.265263,2020,4,7.27,-8.8,10.803,0.21,1.4
Ömnögovi,Bayandalai,43.092427,103.265263,2020,5,12.69,1.2,14.132,0.07,14.6
Ömnögovi,Bayandalai,43.092427,103.265263,2020,6,19.23,6.3,13.183,0.0,3.0
Ömnögovi,Bayandalai,43.092427,103.265263,2020,7,21.658,8.6,12.132,0.0,6.3
Ömnögovi,Bayandalai,43.092427,103.265263,2020,8,18.945,8.0,12.768,0.0,23.4
Ömnögovi,Bayandalai,43.092427,103.265263,2020,9,13.74,1.1,11.72,0.0,10.9
Ömnögovi,Bayandalai,43.092427,103.265263,2020,10,1.416,-7.7,10.639,0.42,0.8
Ömnögovi,Bayandalai,43.092427,103.265263,2020,11,-5.57,-21.0,8.14,4.9,6.9
Ömnögovi,Bayandalai,43.092427,103.265263,2020,12,-17.865,-28.4,7.123,0.91,1.4
Ömnögovi,Bayandalai,43.092427,103.265263,2021,1,-15.0,-32.9,10.665,0.07,0.0
Ömnögovi,Bayandalai,43.092427,103.265263,2021,2,-5.329,-22.5,10.268,1.33,1.9
Ömnögovi,Bayandalai,43.092427,103.265263,2021,3,0.506,-13.8,11.3,0.14,0.2
Ömnögovi,Bayandalai,43.092427,103.265263,2021,4,5.937,-7.3,14.027,0.77,14.0
Ömnögovi,Bayandalai,43.092427,103.265263,2021,5,12.365,-3.3,16.39,0.0,5.5
Ömnögovi,Bayandalai,43.092427,103.265263,2021,6,18.23,-0.7,13.177,0.0,9.6
Ömnögovi,Bayandalai,43.092427,103.265263,2021,7,21.294,9.0,12.323,0.0,27.4
Ömnögovi,Bayandalai,43.092427,103.265263,2021,8,17.935,4.1,13.535,0.0,4.7
Ömnögovi,Bayandalai,43.092427,103.265263,2021,9,14.613,1.2,11.333,0.0,9.2
Ömnögovi,Bayandalai,43.092427,103.265263,2021,10,2.913,-6.9,9.103,0.0,3.7
Ömnögovi,Bayandalai,43.092427,103.265263,2021,11,-6.497,-20.7,9.257,2.94,4.1
Ömnögovi,Bayandalai,43.092427,103.265263,2021,12,-12.594,-23.9,7.374,0.35,0.5
Ömnögovi,Bayandalai,43.092427,103.265263,2022,1,-12.713,-21.4,6.761,0.56,0.9
Ömnögovi,Bayandalai,43.092427,103.265263,2022,2,-12.414,-23.9,7.704,2.73,3.9
Ömnögovi,Bayandalai,43.092427,103.265263,2022,3,-0.584,-15.3,13.242,1.05,1.7
Ömnögovi,Bayandalai,43.092427,103.265263,2022,4,6.33,-5.8,15.387,5.95,10.2
Ömnögovi,Bayandalai,43.092427,103.265263,2022,5,13.894,-3.4,14.419,0.28,6.9
